24-08-06 15:41:26.359 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-08-06 15:41:26.672 [main] INFO  c.t.u.UserMicroServices - Starting UserMicroServices using Java 22 with PID 8804 (C:\Users\P10\Downloads\OnlineNursey\Usermicroservice\target\classes started by P10 in C:\Users\P10\Downloads\OnlineNursey\Usermicroservice) 
24-08-06 15:41:26.674 [main] INFO  c.t.u.UserMicroServices - No active profile set, falling back to 1 default profile: "default" 
24-08-06 15:41:30.450 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
24-08-06 15:41:30.573 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 112 ms. Found 4 JPA repository interfaces. 
24-08-06 15:41:32.191 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http) 
24-08-06 15:41:32.206 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"] 
24-08-06 15:41:32.238 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-08-06 15:41:32.240 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19] 
24-08-06 15:41:32.527 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-08-06 15:41:32.529 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5726 ms 
24-08-06 15:41:32.940 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default] 
24-08-06 15:41:33.103 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.22.Final 
24-08-06 15:41:33.109 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer 
24-08-06 15:41:34.010 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer 
24-08-06 15:41:34.136 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting... 
24-08-06 15:41:35.232 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@11c3d22f 
24-08-06 15:41:35.235 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed. 
24-08-06 15:41:35.496 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
24-08-06 15:41:35.500 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
24-08-06 15:41:37.569 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
24-08-06 15:41:38.120 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default' 
24-08-06 15:41:40.070 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used. 
24-08-06 15:41:42.235 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@635f4be1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@456d3914, org.springframework.security.web.context.SecurityContextHolderFilter@284e68ae, org.springframework.security.web.header.HeaderWriterFilter@70290678, org.springframework.web.filter.CorsFilter@195888a6, org.springframework.security.web.authentication.logout.LogoutFilter@25c3a441, com.techphantomexample.usermicroservice.security.JwtAuthenticationFilter@7890324e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1847da64, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@72de1d86, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@9124278, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@26a0068a, org.springframework.security.web.session.SessionManagementFilter@7ae2f5b6, org.springframework.security.web.access.ExceptionTranslationFilter@4390b78f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@446dea16] 
24-08-06 15:41:43.051 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"] 
24-08-06 15:41:43.129 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path '' 
24-08-06 15:41:43.400 [main] INFO  c.t.u.UserMicroServices - Started UserMicroServices in 17.807 seconds (process running for 19.459) 
